date,year,quarter,month_number,month_name,day,weekday_number,weekday_name,is_weekend,year_month
2015-11-10,2015,4,11,November,10,1,Tuesday,False,2015-11
2015-11-11,2015,4,11,November,11,2,Wednesday,False,2015-11
2015-11-12,2015,4,11,November,12,3,Thursday,False,2015-11
2015-11-13,2015,4,11,November,13,4,Friday,False,2015-11
2015-11-14,2015,4,11,November,14,5,Saturday,True,2015-11
2015-11-15,2015,4,11,November,15,6,Sunday,True,2015-11
2015-11-16,2015,4,11,November,16,0,Monday,False,2015-11
2015-11-17,2015,4,11,November,17,1,Tuesday,False,2015-11
2015-11-18,2015,4,11,November,18,2,Wednesday,False,2015-11
2015-11-19,2015,4,11,November,19,3,Thursday,False,2015-11
2015-11-20,2015,4,11,November,20,4,Friday,False,2015-11
2015-11-21,2015,4,11,November,21,5,Saturday,True,2015-11
2015-11-22,2015,4,11,November,22,6,Sunday,True,2015-11
2015-11-23,2015,4,11,November,23,0,Monday,False,2015-11
2015-11-24,2015,4,11,November,24,1,Tuesday,False,2015-11
2015-11-25,2015,4,11,November,25,2,Wednesday,False,2015-11
2015-11-26,2015,4,11,November,26,3,Thursday,False,2015-11
2015-11-27,2015,4,11,November,27,4,Friday,False,2015-11
2015-11-28,2015,4,11,November,28,5,Saturday,True,2015-11
2015-11-29,2015,4,11,November,29,6,Sunday,True,2015-11
2015-11-30,2015,4,11,November,30,0,Monday,False,2015-11
2015-12-01,2015,4,12,December,1,1,Tuesday,False,2015-12
2015-12-02,2015,4,12,December,2,2,Wednesday,False,2015-12
2015-12-03,2015,4,12,December,3,3,Thursday,False,2015-12
2015-12-04,2015,4,12,December,4,4,Friday,False,2015-12
2015-12-05,2015,4,12,December,5,5,Saturday,True,2015-12
2015-12-06,2015,4,12,December,6,6,Sunday,True,2015-12
2015-12-07,2015,4,12,December,7,0,Monday,False,2015-12
2015-12-08,2015,4,12,December,8,1,Tuesday,False,2015-12
2015-12-09,2015,4,12,December,9,2,Wednesday,False,2015-12
2015-12-10,2015,4,12,December,10,3,Thursday,False,2015-12
2015-12-11,2015,4,12,December,11,4,Friday,False,2015-12
2015-12-12,2015,4,12,December,12,5,Saturday,True,2015-12
2015-12-13,2015,4,12,December,13,6,Sunday,True,2015-12
2015-12-14,2015,4,12,December,14,0,Monday,False,2015-12
2015-12-15,2015,4,12,December,15,1,Tuesday,False,2015-12
2015-12-16,2015,4,12,December,16,2,Wednesday,False,2015-12
2015-12-17,2015,4,12,December,17,3,Thursday,False,2015-12
2015-12-18,2015,4,12,December,18,4,Friday,False,2015-12
2015-12-19,2015,4,12,December,19,5,Saturday,True,2015-12
2015-12-20,2015,4,12,December,20,6,Sunday,True,2015-12
2015-12-21,2015,4,12,December,21,0,Monday,False,2015-12
2015-12-22,2015,4,12,December,22,1,Tuesday,False,2015-12
2015-12-23,2015,4,12,December,23,2,Wednesday,False,2015-12
2015-12-24,2015,4,12,December,24,3,Thursday,False,2015-12
2015-12-25,2015,4,12,December,25,4,Friday,False,2015-12
2015-12-26,2015,4,12,December,26,5,Saturday,True,2015-12
2015-12-27,2015,4,12,December,27,6,Sunday,True,2015-12
2015-12-28,2015,4,12,December,28,0,Monday,False,2015-12
2015-12-29,2015,4,12,December,29,1,Tuesday,False,2015-12
2015-12-30,2015,4,12,December,30,2,Wednesday,False,2015-12
2015-12-31,2015,4,12,December,31,3,Thursday,False,2015-12
2016-01-01,2016,1,1,January,1,4,Friday,False,2016-01
2016-01-02,2016,1,1,January,2,5,Saturday,True,2016-01
2016-01-03,2016,1,1,January,3,6,Sunday,True,2016-01
2016-01-04,2016,1,1,January,4,0,Monday,False,2016-01
2016-01-05,2016,1,1,January,5,1,Tuesday,False,2016-01
2016-01-06,2016,1,1,January,6,2,Wednesday,False,2016-01
2016-01-07,2016,1,1,January,7,3,Thursday,False,2016-01
2016-01-08,2016,1,1,January,8,4,Friday,False,2016-01
2016-01-09,2016,1,1,January,9,5,Saturday,True,2016-01
2016-01-10,2016,1,1,January,10,6,Sunday,True,2016-01
2016-01-11,2016,1,1,January,11,0,Monday,False,2016-01
2016-01-12,2016,1,1,January,12,1,Tuesday,False,2016-01
2016-01-13,2016,1,1,January,13,2,Wednesday,False,2016-01
2016-01-14,2016,1,1,January,14,3,Thursday,False,2016-01
2016-01-15,2016,1,1,January,15,4,Friday,False,2016-01
2016-01-16,2016,1,1,January,16,5,Saturday,True,2016-01
2016-01-17,2016,1,1,January,17,6,Sunday,True,2016-01
2016-01-18,2016,1,1,January,18,0,Monday,False,2016-01
2016-01-19,2016,1,1,January,19,1,Tuesday,False,2016-01
2016-01-20,2016,1,1,January,20,2,Wednesday,False,2016-01
2016-01-21,2016,1,1,January,21,3,Thursday,False,2016-01
2016-01-22,2016,1,1,January,22,4,Friday,False,2016-01
2016-01-23,2016,1,1,January,23,5,Saturday,True,2016-01
2016-01-24,2016,1,1,January,24,6,Sunday,True,2016-01
2016-01-25,2016,1,1,January,25,0,Monday,False,2016-01
2016-01-26,2016,1,1,January,26,1,Tuesday,False,2016-01
2016-01-27,2016,1,1,January,27,2,Wednesday,False,2016-01
2016-01-28,2016,1,1,January,28,3,Thursday,False,2016-01
2016-01-29,2016,1,1,January,29,4,Friday,False,2016-01
2016-01-30,2016,1,1,January,30,5,Saturday,True,2016-01
2016-01-31,2016,1,1,January,31,6,Sunday,True,2016-01
2016-02-01,2016,1,2,February,1,0,Monday,False,2016-02
2016-02-02,2016,1,2,February,2,1,Tuesday,False,2016-02
2016-02-03,2016,1,2,February,3,2,Wednesday,False,2016-02
2016-02-04,2016,1,2,February,4,3,Thursday,False,2016-02
2016-02-05,2016,1,2,February,5,4,Friday,False,2016-02
2016-02-06,2016,1,2,February,6,5,Saturday,True,2016-02
2016-02-07,2016,1,2,February,7,6,Sunday,True,2016-02
2016-02-08,2016,1,2,February,8,0,Monday,False,2016-02
2016-02-09,2016,1,2,February,9,1,Tuesday,False,2016-02
2016-02-10,2016,1,2,February,10,2,Wednesday,False,2016-02
2016-02-11,2016,1,2,February,11,3,Thursday,False,2016-02
2016-02-12,2016,1,2,February,12,4,Friday,False,2016-02
2016-02-13,2016,1,2,February,13,5,Saturday,True,2016-02
2016-02-14,2016,1,2,February,14,6,Sunday,True,2016-02
2016-02-15,2016,1,2,February,15,0,Monday,False,2016-02
2016-02-16,2016,1,2,February,16,1,Tuesday,False,2016-02
2016-02-17,2016,1,2,February,17,2,Wednesday,False,2016-02
2016-02-18,2016,1,2,February,18,3,Thursday,False,2016-02
