location_id,neighbourhood
1,AEROPORTO
2,ANDORINHAS
3,ANTÔNIO HONÓRIO
4,ARIOVALDO FAVALESSA
5,BARRO VERMELHO
6,BELA VISTA
7,BENTO FERREIRA
8,BOA VISTA
9,BONFIM
10,CARATOÍRA
11,CENTRO
12,COMDUSA
13,CONQUISTA
14,CONSOLAÇÃO
15,CRUZAMENTO
16,DA PENHA
17,DE LOURDES
18,DO CABRAL
19,DO MOSCOSO
20,DO QUADRO
21,ENSEADA DO SUÁ
22,ESTRELINHA
23,FONTE GRANDE
24,FORTE SÃO JOÃO
25,FRADINHOS
26,GOIABEIRAS
27,GRANDE VITÓRIA
28,GURIGICA
29,HORTO
30,ILHA DAS CAIEIRAS
31,ILHA DE SANTA MARIA
32,ILHA DO BOI
33,ILHA DO FRADE
34,ILHA DO PRÍNCIPE
35,ILHAS OCEÂNICAS DE TRINDADE
36,INHANGUETÁ
37,ITARARÉ
38,JABOUR
39,JARDIM CAMBURI
40,JARDIM DA PENHA
41,JESUS DE NAZARETH
42,JOANA D´ARC
43,JUCUTUQUARA
44,MARIA ORTIZ
45,MARUÍPE
46,MATA DA PRAIA
47,MONTE BELO
48,MORADA DE CAMBURI
49,MÁRIO CYPRESTE
50,NAZARETH
51,NOVA PALESTINA
52,PARQUE INDUSTRIAL
53,PARQUE MOSCOSO
54,PIEDADE
55,PONTAL DE CAMBURI
56,PRAIA DO CANTO
57,PRAIA DO SUÁ
58,REDENÇÃO
59,REPÚBLICA
60,RESISTÊNCIA
61,ROMÃO
62,SANTA CECÍLIA
63,SANTA CLARA
64,SANTA HELENA
65,SANTA LUÍZA
66,SANTA LÚCIA
67,SANTA MARTHA
68,SANTA TEREZA
69,SANTO ANDRÉ
70,SANTO ANTÔNIO
71,SANTOS DUMONT
72,SANTOS REIS
73,SEGURANÇA DO LAR
74,SOLON BORGES
75,SÃO BENEDITO
76,SÃO CRISTÓVÃO
77,SÃO JOSÉ
78,SÃO PEDRO
79,TABUAZEIRO
80,UNIVERSITÁRIO
81,VILA RUBIM
